title,filename,location,date_created,technologies,category,link,description,,,,,,
,img2.png,,,Pentax K100D,photography,,Owl in the rainforest of Ecuador,,,,,,
,img26.png,,,Pentax K100D,photography,,Southern Iceland,,,,,,
,img15.png,,,Pentax K100D,photography,,,,,,,,
,img11.png,,,Pentax K100D,photography,,Windmills in Holland,,,,,,
,img28.png,,,Pentax K100D,photography,,Duck in the Glacier Lagoon in Iceland,,,,,,
,img45.png,,,Pentax K100D,photography,,,,,,,,
,img22.png,,,Pentax K100D,photography,,Sunset over the Arno in Florence,,,,,,
,img6.png,,,Pentax K100D,photography,,Tucan in the rainforest of Ecuador,,,,,,
,img29.png,,,Pentax K100D,photography,,Gullfoss in Iceland,,,,,,
,img40.png,,,Pentax K100D,photography,,,,,,,,
,img25.png,,,Pentax K100D,photography,,View of Iceland from the top of Thrihnukagigur Volcano,,,,,,
,img30.png,,,Pentax K100D,photography,,Little girl inside the Thrihnukagigur Volcano,,,,,,
,img5.png,,,Pentax K100D,photography,,,,,,,,
,img33.png,,,Pentax K100D,photography,,View from the Sun Voyager in Reykjavik,,,,,,
,img16.png,,,Pentax K100D,photography,,,,,,,,
,img44.png,,,Pentax K100D,photography,,,,,,,,
,img36.png,,,Pentax K100D,photography,,Seljalandsfoss,,,,,,
,img37.png,,,Pentax K100D,photography,,,,,,,,
Vatican City,img21.png,,,Pentax K100D,photography,,,,,,,,
,img24.png,,,Pentax K100D,photography,,,,,,,,
,img3.png,,,Pentax K100D,photography,,Turtle in the rainforest of Ecuador,,,,,,
,img47.png,,,Pentax K100D,photography,,,,,,,,
,img43.png,,,Pentax K100D,photography,,Sundance in Utah,,,,,,
,img10.png,,,Pentax K100D,photography,,,,,,,,
,img9.png,,,Pentax K100D,photography,,,,,,,,
,img35.png,,,Pentax K100D,photography,,,,,,,,
,img4.png,,,Pentax K100D,photography,,,,,,,,
,img39.png,,,Pentax K100D,photography,,,,,,,,
,img31.png,,,Pentax K100D,photography,,Inside Thrihnukagigur Volcano,,,,,,
,img12.png,,,Pentax K100D,photography,,Prague,,,,,,
,img46.png,,,Pentax K100D,photography,,,,,,,,
,img19.png,,,Pentax K100D,photography,,Florence,,,,,,
,img23.png,,,Pentax K100D,photography,,,,,,,,
,img0.png,,,Pentax K100D,photography,,,,,,,,
,img42.png,,,Pentax K100D,photography,,,,,,,,
,img34.png,,,Pentax K100D,photography,,,,,,,,
,img14.png,,,Pentax K100D,photography,,,,,,,,
,img41.png,,,Pentax K100D,photography,,,,,,,,
,img17.png,,,Pentax K100D,photography,,,,,,,,
,img48.png,,,Pentax K100D,photography,,,,,,,,
,img8.png,,,Pentax K100D,photography,,,,,,,,
,img18.png,,,Pentax K100D,photography,,,,,,,,
,img32.png,,,Pentax K100D,photography,,,,,,,,
,img7.png,,,Pentax K100D,photography,,,,,,,,
,img27.png,,,Pentax K100D,photography,,Glacier Lagoon in Iceland,,,,,,
,img20.png,,,Pentax K100D,photography,,,,,,,,
,img13.png,,,Pentax K100D,photography,,Prague,,,,,,
,img1.png,,,Pentax K100D,photography,,,,,,,,
,img38.png,,,Pentax K100D,photography,,,,,,,,
,design1.jpg,,,,design,,,,,,,,
,design5.jpg,,,,design,,,,,,,,
Monster Match,dev03.png,,2014-09-15,Javascript/HTML/CSS/Illustrator,dev,http://acreilly.github.io/MonsterMatch/,,,,Javascript memory match game inspired from an Flash Actionscript 3.0 game I created in 2012,,,
Kittitah,design2.png,,2009-04-01,Photoshop,design,,Photomanipulation project,,,,,,
The Origin of Spirits,design9.png,,2013-12-12,Illustrator,design,,Infographic about the origin and creation of spirits,,,,,,
Personal Identity,design8.png,,2013-12-15,Illustrator/Photoshop,design,,,,,,,,
Farmer's Markets,dev04.png,,2014-09-21,Javascript/HTML/CSS/Google API,dev,http://acreilly.github.io/FarmersMarkets/,,,,Searches for farmer's markets near your zipcode and give you the details of each market,,,
What You Give Up (and Gain) by Moving to the Cloud,design0.png,,2014-02-19,,design,,Ebook created for Nuance Communications,,,,,,
Allie Walker,design7.jpg,,,,design,,,,,,,,
Animal Mesh,design4.png,,2009-05-10,Photoshop,design,,,,,,,,
Animal Mesh,design3.png,,2009-05-10,Photoshop,design,,,,,,,,
Fuse,design10.png,,2013-11-25,Illustrator/Photoshop/Blender,design,,Product Design. Naturally flavored infused vodka,,,,,,
Allie Walker,design6.jpg,,2013-10-25,Illustrator,design,,Personal Identity Logo,,,,,,
Homeward Found,dev0.png,,2014-08-22,Ruby on Rails/Javascript/jQuery/AJAX/HTML5/CSS3/JSON,dev,http://homeward-found.herokuapp.com,Homeward Found is a web application built for helping users find lost pets. A user has the ability to create a listing for a lost pet or a pet they found and have the application return potential matches.,,,,,,
iRSVP,dev1.png,,2014-07-31,Ruby/Javascript/Sinatra/AJAX/HTML/CSS/Google Maps API,dev,http://irsvp.herokuapp.com,Phase 2 Dev Bootcamp App,,,,,,